date,country,fx_lcu_per_usd,fx_return,shock_1y,shock_5y,isdRRR,isdRevrepo,isdLDR,isdMLF,isMPR,isFX,isTMLF,event_day,fx_return_lead1,fx_return_01
2008-03-12,idr,9153,-0.9135463207831762,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.7293343165860833,-0.18421200419709294
2008-03-13,idr,9220,0.7293343165860833,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.3572785698390035,1.0866128864250868
2008-03-14,idr,9253,0.3572785698390035,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.7751142262986122,1.1323927961376157
2008-03-17,idr,9325,0.7751142262986122,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.6778957471318847,0.09721847916672743
2008-03-18,idr,9262,-0.6778957471318847,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.7151401157624804,-1.393035862894365
2008-03-19,idr,9196,-0.7151401157624804,0,0.045,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,NA,NA
2008-03-20,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,NA
2008-03-21,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,NA
2008-03-24,idr,9188,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.02176989232491877,NA
2008-03-25,idr,9186,-0.02176989232491877,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.08705114804339331,0.06528125571847454
2008-03-26,idr,9194,0.08705114804339331,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.1738752883179373,0.2609264363613306
2008-03-27,idr,9210,0.1738752883179373,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.1952490044292432,0.3691242927471805
2008-03-28,idr,9228,0.1952490044292432,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.11927352999805407,0.07597547443118913
2008-03-31,idr,9217,-0.11927352999805407,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.19548225165078037,-0.31475578164883444
2008-04-01,idr,9199,-0.19548225165078037,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.21765162580660305,-0.4131338774573834
2008-04-02,idr,9179,-0.21765162580660305,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.4239828061363582,0.20633118032975514
2008-04-03,idr,9218,0.4239828061363582,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.0975874298100976,0.5215702359464558
2008-04-04,idr,9227,0.0975874298100976,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.0975874298100976,0
2008-04-07,idr,9218,-0.0975874298100976,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.05425641715230966,-0.15184384696240727
2008-04-08,idr,9213,-0.05425641715230966,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.01085363869304245,-0.04340277845926721
2008-04-09,idr,9214,0.01085363869304245,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.05427997744948953,-0.04342633875644708
2008-04-10,idr,9209,-0.05427997744948953,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.19565223632564965,-0.2499322137751392
2008-04-11,idr,9191,-0.19565223632564965,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.06525995445869626,-0.1303922818669534
2008-04-14,idr,9197,0.06525995445869626,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.02174858642760568,0.043511368031090576
2008-04-15,idr,9195,-0.02174858642760568,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.1304206249423956,0.1086720385147899
2008-04-16,idr,9207,0.1304206249423956,0.01,0.04,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,-0.11954574047727816,0.010874884465117432
2008-04-17,idr,9196,-0.11954574047727816,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.03262820193175031,-0.15217394240902848
2008-04-18,idr,9193,-0.03262820193175031,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.01087725024184749,-0.02175095168990282
2008-04-21,idr,9194,0.01087725024184749,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.03263530080630517,-0.021758050564457676
2008-04-22,idr,9191,-0.03263530080630517,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.10874294242508852,0.07610764161878335
2008-04-23,idr,9201,0.10874294242508852,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.18459204980931787,0.2933349922344064
2008-04-24,idr,9218,0.18459204980931787,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.05422699552646293,0.2388190453357808
2008-04-25,idr,9223,0.05422699552646293,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.17332904350269018,0.2275560390291531
2008-04-28,idr,9239,0.17332904350269018,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.05413306038111187,0.11919598312157831
2008-04-29,idr,9234,-0.05413306038111187,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-0.05413306038111187
2008-04-30,idr,9234,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.02166143190542868,-0.02166143190542868
2008-05-02,idr,9232,-0.02166143190542868,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.0433181726505083,0.021656740745079624
2008-05-05,idr,9236,0.0433181726505083,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.09749228958302324,-0.054174116932514935
2008-05-06,idr,9227,-0.09749228958302324,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.02167316870220759,-0.07581912088081565
2008-05-07,idr,9229,0.02167316870220759,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.34613339046920544,0.36780655917141303
2008-05-08,idr,9261,0.34613339046920544,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.0756143703323886,0.27051902013681683
2008-05-09,idr,9254,-0.0756143703323886,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.09720797870826914,0.021593608375880535
2008-05-12,idr,9263,0.09720797870826914,0,-0.02,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,-0.05399276628121896,0.043215212427050176
2008-05-13,idr,9258,-0.05399276628121896,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.29121521955897123,0.23722245327775227
2008-05-14,idr,9285,0.29121521955897123,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.31184497555170054,0.6030601951106718
2008-05-15,idr,9314,0.31184497555170054,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.0966754465972386,0.21516952895446195
2008-05-16,idr,9305,-0.0966754465972386,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.09676899846571274,-0.19344444506295133
2008-05-19,idr,9296,-0.09676899846571274,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,NA
2008-05-20,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,NA
2008-05-21,idr,9311,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.04295071471602796,NA
2008-05-22,idr,9315,0.04295071471602796,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.2680248187198586,0.3109755334358866
2008-05-23,idr,9340,0.2680248187198586,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.02141098391650331,0.2894358026363619
2008-05-26,idr,9342,0.02141098391650331,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.3632870754740836,0.38469805939058693
2008-05-27,idr,9376,0.3632870754740836,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.5776034884107162,-0.21431641293663256
2008-05-28,idr,9322,-0.5776034884107162,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.10721562086342118,-0.470387867547295
2008-05-29,idr,9332,0.10721562086342118,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.15013407645785293,-0.04291845559443175
2008-05-30,idr,9318,-0.15013407645785293,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.08589221056301,-0.23602628702086292
2008-06-02,idr,9310,-0.08589221056301,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.03221822505459215,-0.05367398550841784
2008-06-03,idr,9313,0.03221822505459215,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.03220784825739287,0.06442607331198502
2008-06-04,idr,9316,0.03220784825739287,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.07511132924609143,0.1073191775034843
2008-06-05,idr,9323,0.07511132924609143,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.05361642935799438,0.1287277586040858
2008-06-06,idr,9328,0.05361642935799438,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.2783429695558226,0.331959398913817
2008-06-09,idr,9354,0.2783429695558226,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.19261643194390388,0.08572653761191873
2008-06-10,idr,9336,-0.19261643194390388,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.1178929454376032,-0.3105093773815071
2008-06-11,idr,9325,-0.1178929454376032,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.0214454214846782,-0.096447523952925
2008-06-12,idr,9327,0.0214454214846782,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.11800677226307954,-0.09656135077840133
2008-06-13,idr,9316,-0.11800677226307954,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.10728463640337084,-0.0107221358597087
2008-06-16,idr,9326,0.10728463640337084,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.09655099178402791,0.010733644619342925
2008-06-17,idr,9317,-0.09655099178402791,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.3440493663619648,-0.44060035814599274
2008-06-18,idr,9285,-0.3440493663619648,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.05383580210782668,-0.29021356425413813
2008-06-19,idr,9290,0.05383580210782668,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.03229800318749198,0.0215377989203347
2008-06-20,idr,9287,-0.03229800318749198,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.23717130565490407,-0.26946930884239606
2008-06-23,idr,9265,-0.23717130565490407,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.07552463001267995,-0.16164667564222412
2008-06-24,idr,9272,0.07552463001267995,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.19432155526413197,-0.11879692525145202
2008-06-25,idr,9254,-0.19432155526413197,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.28135501733004276,-0.47567657259417473
2008-06-26,idr,9228,-0.28135501733004276,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,NA
2008-06-27,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,NA,NA
2008-06-30,idr,9225,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.10845988048036048,NA
2008-07-01,idr,9215,-0.10845988048036048,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.16264573929731796,0.05418585881695748
2008-07-02,idr,9230,0.16264573929731796,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.1409443503233021,0.021701388974015856
2008-07-03,idr,9217,-0.1409443503233021,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0.02169668049294415,-0.11924766983035795
2008-07-04,idr,9219,0.02169668049294415,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.1085305077227261,-0.08683382722978195
2008-07-07,idr,9209,-0.1085305077227261,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.06517488825092954,-0.17370539597365564
2008-07-08,idr,9203,-0.06517488825092954,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.11959773102656612,-0.18477261927749566
