date,country,fx_lcu_per_usd,fx_return,shock_1y,shock_5y,isdRRR,isdRevrepo,isdLDR,isdMLF,isMPR,isFX,isTMLF,event_day
2006-04-11,idr,8990,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-12,idr,8995,0.05560189189672826,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-13,idr,9010,0.16662042177504333,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-14,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-17,idr,8985,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-18,idr,8980,-0.05566379214130279,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-19,idr,8970,-0.111420624340397,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-20,idr,8910,-0.6711434587986176,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-21,idr,8900,-0.11229647446242552,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-24,idr,8845,-0.6198949126344999,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-25,idr,8805,-0.45325856635791695,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-26,idr,8835,0.3401363823488879,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-27,idr,8810,-0.2833665823571252,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-04-28,idr,8775,-0.39806705961584754,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-01,idr,8785,0.11389522871319002,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-02,idr,8770,-0.1708915254969412,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-03,idr,8767,-0.03421337776430278,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-04,idr,8775,0.09120967454805395,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-05,idr,8785,0.11389522871319002,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-08,idr,8735,-0.5707778053041679,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-09,idr,8760,0.2857961362281003,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-10,idr,8725,-0.4003436859809639,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-11,idr,8740,0.1717721578952336,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-12,idr,8720,-0.22909517465556917,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-15,idr,8895,1.9870083196911636,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-16,idr,9175,3.099307282283448,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-17,idr,9060,-1.2613273885746068,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-18,idr,9230,1.858992845987295,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-19,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-22,idr,9275,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-23,idr,9320,0.484002020400176,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-24,idr,9310,-0.10735374085246718,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-25,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-26,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-29,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-30,idr,NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-05-31,idr,9220,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-01,idr,9260,0.4329011089584611,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
2006-06-02,idr,9280,0.2157498140022085,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
