date,country,fx_lcu_per_usd,fx_return_usd,fx_return_cny,shock_1y,shock_5y,shock_1y_roll,shock_5y_roll,n_events_roll,max_roll_days,ret_cny,d_vix,ret_broad_dollar,ret_brent,d_ust_2y,event_day,event_day_roll,post_split,usd_w0,usd_w01,usd_wm11,usd_w5p1,usd_w5m0,cny_w0,cny_w01,cny_wm11,cny_w5p1,cny_w5m0,ctrl_dollar_w01,ctrl_vix_w01,ctrl_brent_w01,ctrl_ust2y_w01,ctrl_cny_w01
2008-02-04,idr,9230,0.07586842611786437,-0.02151611135037257,0,0,0,0,0,NA,0.09738453746825915,1.9699999999999989,-0.004068688503977569,-0.3506852909008984,-0.9999999999999787,0,0,0,0.07586842611786437,0.043360434283634675,-0.691222106275724,-1.2493431214400275,-1.2168351296057978,-0.02151611135037257,0.05728025613240817,-0.7148902511517008,-0.8603186641608751,-0.9391150316436558,0.6686275743295056,4.219999999999999,-1.999956168484296,-15.999999999999993,-0.01391982184875129
2008-02-05,idr,9227,-0.0325079918342297,0.07879636748278074,0,0,0,0,0,NA,-0.11130435931701044,2.25,0.6726962628334832,-1.6492708775833975,-15.000000000000014,0,0,0,-0.0325079918342297,0.15156438973740194,0.2274328158552663,-1.1080743788312475,-1.2921467604028791,0.07879636748278074,0.26982938665156553,0.24831327530119296,-0.9411526541645898,-1.1321856733333746,0.5858787588811865,2.9800000000000004,-2.624997790947159,-12.00000000000001,-0.1182649969142302
2008-02-06,idr,9244,0.18407238157163164,0.1910330191687848,0,0,0,0,0,NA,-0.006960637597219765,0.7300000000000004,-0.0868175039522967,-0.9757269133637614,3.0000000000000027,0,0,0,0.18407238157163164,NA,NA,NA,-0.9581814171475855,0.1910330191687848,NA,NA,NA,-0.7704140543551397,0.38779172857070776,-0.5799999999999983,-1.1787955752041945,6.000000000000005,-0.006960637597219765
2008-02-07,idr,NA,NA,NA,0,0,0,0,0,NA,0,-1.3099999999999987,0.47460923252300447,-0.20306866184043315,3.0000000000000027,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2512607839733505,-0.9599999999999973,3.0194323989627847,-3.0000000000000027,0
2008-02-08,idr,9238,NA,NA,0,0,0,0,0,NA,0,0.3500000000000014,-0.22334844854965397,3.222501060803218,-6.000000000000005,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23197892140958132,-0.05999999999999872,5.898245977758165,-6.000000000000005,0.10435872516327827
2008-02-11,idr,9241,0.032469289748959795,-0.07188943541427406,0,0,0,0,0,NA,0.10435872516327827,-0.41000000000000014,-0.008630472859927352,2.6757449169549474,0,0,0,0,0.032469289748959795,0.2810508822225444,NA,NA,NA,-0.07188943541427406,0.2671300914991903,NA,NA,NA,-0.30161127162724455,-1.6800000000000033,3.047670323105578,1.0000000000000009,0.013920790723398468
2008-02-12,idr,9264,0.24858159247358458,0.3390195269134644,0,0,0,0,0,NA,-0.0904379344398798,-1.2700000000000031,-0.2929807987673172,0.3719254061506305,1.0000000000000009,0,0,0,0.24858159247358458,0.30253939877926683,0.33500868852822663,NA,NA,0.3390195269134644,0.20801486401627045,0.1361254286019964,NA,NA,-0.08600916353946886,-2.7200000000000024,-0.11717711061125513,-2.0000000000000018,0.09452453476292977
2008-02-13,idr,9269,0.053957806305682254,-0.13100466289719392,0,0,0,0,0,NA,0.18496246920280957,-1.4499999999999993,0.20697163522784834,-0.48910251676188565,-3.0000000000000027,0,0,0,0.053957806305682254,-0.053986936472938396,0.19459465600064618,NA,NA,-0.13100466289719392,-0.10965072861433,0.22936879829913437,NA,NA,-0.05442501345980233,-0.7899999999999991,1.7245432651328052,-1.0000000000000009,0.055663792141413815
2008-02-14,idr,9259,-0.10794474277862065,0.021353934282863918,0,0,0,0,0,NA,-0.12929867706139575,0.6600000000000001,-0.26139664868765067,2.213645781894691,2.0000000000000018,0,0,0,-0.10794474277862065,-0.8994912990093695,-0.8455334927036873,NA,NA,0.021353934282863918,-0.6309750023582694,-0.7619796652554633,NA,NA,-0.26690827061877087,0.14000000000000057,3.2920469420692378,0,-0.2685162966511001
2008-02-15,idr,9186,-0.7915465562307489,-0.6523289366411333,0,0,0,0,0,NA,-0.13921761958970436,-0.5199999999999996,-0.005511621931120203,1.078401160174547,-2.0000000000000018,0,0,0,-0.7915465562307489,-1.3263947449425828,-1.4343394877212035,NA,NA,-0.6523289366411333,NA,NA,NA,NA,-0.0057365925442809385,NA,NA,NA,NA
