date,country,fx_lcu_per_usd,fx_return_usd,fx_return_cny,shock_1y,shock_5y,shock_1y_roll,shock_5y_roll,n_events_roll,max_roll_days,ret_cny,d_vix,ret_broad_dollar,ret_brent,d_ust_2y,event_day,event_day_roll,post_split,usd_w0,usd_w01,usd_wm11,cny_w0,cny_w01,cny_wm11,ctrl_dollar_w01,ctrl_vix_w01,ctrl_brent_w01,ctrl_ust2y_w01,ctrl_cny_w01
2018-01-24,thb,31.7,-0.39354635602353305,0.15482947960210325,0,0,0,0,0,NA,-0.5483758356256363,0.370000000000001,-0.8533696077901887,0.1431434541583343,2.0000000000000018,0,0,1,-0.39354635602353305,-1.296665858855972,-1.4881556130263096,0.15482947960210325,-0.021381060021941067,-0.15819826235594636,-1.391797224213498,0.4800000000000004,1.8028737304140563,2.0000000000000018,-1.2752847988340754
2018-01-25,thb,31.415,-0.903119502832439,-0.17621053962404432,0,0,0,0,0,NA,-0.7269089632084391,0.10999999999999943,-0.5384276164233093,1.659730276255722,0,0,0,1,-0.903119502832439,-1.0942936888250543,-1.4878400448485873,-0.17621053962404432,-0.38320901276553965,-0.2283795331634364,-0.36403430179738905,-0.39000000000000057,0.24287461042424852,4.999999999999982,-0.711084676059559
2018-01-26,thb,31.355,-0.19117418599261526,-0.20699847314149533,0,0,0,0,0,NA,0.015824287148880067,-0.5,0.17439331462592023,-1.4168556658314735,4.999999999999982,0,0,1,-0.19117418599261526,-0.21031172113650243,-1.1134312239689415,-0.20699847314149533,-0.43004512601889644,-0.6062556656429408,0.5701744784192719,2.26,-3.828699051354434,2.9999999999999805,0.219733404882394
2018-01-29,thb,31.349,-0.019137535143887163,-0.2230466528774011,0,0,0,0,0,NA,0.20390911773351394,2.76,0.3957811637933517,-2.4118433855229604,-2.0000000000000018,0,0,1,-0.019137535143887163,0.32159999697718433,0.13042581098456907,-0.2230466528774011,0.32159999697718433,0.114601523835689,0.3884989509684189,3.709999999999999,-3.3370280449230627,0,0
2018-01-30,thb,31.456,0.3407375321210715,0.5446466498545854,0,0,0,0,0,NA,-0.20390911773351394,0.9499999999999993,-0.007282212824932799,-0.9251846594001023,2.0000000000000018,0,0,1,0.3407375321210715,0.03508268386616109,0.015945148722273927,0.5446466498545854,0.8070669567078248,0.5840203038304237,-0.32223132202977567,-0.3000000000000007,-0.9251846594001023,3.000000000000025,-0.7719842728416415
2018-01-31,thb,31.36,-0.3056548482549104,0.26242030685323936,0,0,0,0,0,NA,-0.5680751551081276,-1.25,-0.31494910920484287,0,1.000000000000023,0,0,1,-0.3056548482549104,-0.3056548482549104,0.03508268386616109,0.26242030685323936,0.058938796377061564,0.603585446231647,-0.579324738263054,-1.3199999999999985,1.2025368552934346,3.000000000000025,-0.36459364463194976
2018-02-01,thb,31.36,0,-0.2034815104761778,0,0,0,0,0,NA,0.2034815104761778,-0.06999999999999851,-0.2643756290582111,1.2025368552934346,2.0000000000000018,0,0,1,0,-0.03508268386616109,-0.3407375321210715,-0.2034815104761778,-0.26238260290891713,3.7703944322231564e-5,0.32307154323207854,3.7699999999999996,-0.4880583525140203,0.9999999999999787,0.22729991904273383
2018-02-02,thb,31.349,-0.03508268386616109,-0.05890109243273933,0,0,0,0,0,NA,0.023818408566556037,3.839999999999998,0.5874471722902896,-1.6905952078074549,-1.000000000000023,0,0,1,-0.03508268386616109,0.48669636255120885,0.48669636255120885,-0.05890109243273933,0.675857038575578,0.4723755280994002,0.7878714971525369,23.85,-1.3354076211324006,-8.000000000000007,-0.18916067602441355
2018-02-05,thb,31.513,0.5217790464173699,0.7347581310083173,0,0,0,0,0,NA,-0.2129790845909696,20.01,0.20042432486224726,0.35518758667505423,-6.999999999999984,0,0,1,0.5217790464173699,0.9113344013625291,0.876251717496368,0.7347581310083173,1.1561403480935928,1.0972392556608535,0.3776639761204237,12.670000000000002,-1.0432285373406458,-4.999999999999982,-0.2448059467310415
2018-02-06,thb,31.636,0.38955535494515914,0.42138221708527546,0,0,0,0,0,NA,-0.03182686214007191,-7.34,0.17723965125817642,-1.3984161240157,2.0000000000000018,0,0,1,0.38955535494515914,-0.08889171670132257,0.4328873297160474,0.42138221708527546,0.23142983464949918,0.9661879656578165,0.3603858862787135,-9.59,-2.92308902844427,6.999999999999984,-0.32032155135075513
2018-02-07,thb,31.485,-0.4784470716464817,-0.18995238243577628,0,0,0,0,0,NA,-0.2884946892106832,-2.25,0.18314623502053706,-1.52467290442857,4.999999999999982,0,0,1,-0.4784470716464817,0.33765159329637306,0.7272069482415322,-0.18995238243577628,-0.28431594976261465,0.1370662673226608,0.7247640760351892,3.4800000000000004,-3.8016943592646513,2.9999999999999805,0.6219675430589877
2018-02-08,thb,31.743,0.8160986649428548,-0.09436356732683837,0,0,0,0,0,NA,0.9104622322696709,5.73,0.5416178410146522,-2.277021454836081,-2.0000000000000018,0,0,1,0.8160986649428548,1.0772323847286103,0.5987853130821286,-0.09436356732683837,0.572514519922307,0.3825621374865307,0.5007055234815816,1.3299999999999983,-4.1938122686449475,-10.000000000000009,0.5047178648062811
2018-02-09,thb,31.826,0.2611337197857555,0.6668780872491453,0,0,0,0,0,NA,-0.4057443674633898,-4.400000000000002,-0.040912317533070564,-1.9167908138088663,-8.000000000000007,0,0,1,0.2611337197857555,-0.33765159329637306,0.4784470716464817,0.6668780872491453,-0.381930169514777,-0.47629373684161536,-0.248965047471561,-7.850000000000001,-3.258235394257891,-4.0000000000000036,0.04427857621840392
2018-02-12,thb,31.636,-0.5987853130821286,-1.0488082567639223,0,0,0,0,0,NA,0.45002294368179374,-3.4499999999999993,-0.20805272993849044,-1.341444580449025,4.0000000000000036,0,0,1,-0.5987853130821286,-0.9312376907761433,-0.6701039709903878,-1.0488082567639223,-1.586583299972455,-0.9197052127233096,-0.46367104711704243,-4.09,-1.76032710045666,5.000000000000027,0.6553456091963117
2018-02-13,thb,31.531,-0.3324523776940147,-0.5377750432085326,0,0,0,0,0,NA,0.20532266551451794,-0.6400000000000006,-0.255618317178552,-0.41888252000763515,1.000000000000023,0,0,1,-0.3324523776940147,-0.7073892683735927,-1.3061745814557213,-0.5377750432085326,-1.004181605455079,-2.0529898622190013,-0.5235222903728243,-6.349999999999998,0.1445899520920335,8.000000000000007,0.2967923370814862
2018-02-14,thb,31.413,-0.37493689067957803,-0.4664065622465463,0,0,0,0,0,NA,0.09146967156696828,-5.709999999999997,-0.2679039731942723,0.5634724720996687,6.999999999999984,0,0,1,-0.37493689067957803,-0.7704590802504185,-1.1029114579444332,-0.4664065622465463,-0.8619287518173868,-1.3997037950259195,-0.7177876449149245,-5.84,1.474385682436452,8.999999999999986,0.09146967156696828
2018-02-15,thb,31.289,-0.3955221895708405,-0.3955221895708405,0,0,0,0,0,NA,0,-0.13000000000000256,-0.44988367172065225,0.9109132103367834,2.0000000000000018,0,0,1,-0.3955221895708405,-0.5618530343028727,-0.9367899249824507,-0.3955221895708405,-0.5618530343028949,-1.0282595965494412,-0.4039072179566894,0.1999999999999993,3.1758731977520327,4.0000000000000036,0
2018-02-16,thb,31.237,-0.1663308447320322,-0.1663308447320544,0,0,0,0,0,NA,0,0.33000000000000185,0.045976453763962866,2.2649599874152493,2.0000000000000018,0,0,1,-0.1663308447320322,0.5100588060818811,0.11453661651104063,-0.1663308447320544,0.6472947077049485,0.25177251813410795,0.594750592459814,1.4700000000000024,2.854200333948498,6.000000000000005,-0.1372359016230451
2018-02-20,thb,31.449,0.6763896508139133,0.8136255524370029,0,0,0,0,0,NA,-0.1372359016230451,1.1400000000000006,0.5487741386958511,0.5892403465332485,4.0000000000000036,0,0,1,0.6763896508139133,0.9367899249824507,0.7704590802504185,0.8136255524370029,1.074025826605518,0.9076949818734636,0.7743038111478917,0.5599999999999987,0.7900281196050685,4.999999999999982,-0.1372359016230451
2018-02-21,thb,31.531,0.2604002741685374,0.2604002741685152,0,0,0,0,0,NA,0,-0.5800000000000018,0.22552967245204059,0.20078777307181994,0.9999999999999787,0,0,1,0.2604002741685374,0.5232874316658531,1.1996770824797665,0.2604002741685152,0.3340457609582126,1.1476713133952154,0.2245099014091423,-1.8800000000000026,2.201923824391727,0,0.18924167070761833
2018-02-22,thb,31.614,0.2628871574973157,0.0736454867896974,0,0,0,0,0,NA,0.18924167070761833,-1.3000000000000007,-0.0010197710428982987,2.0011360513199072,-0.9999999999999787,0,0,1,0.2628871574973157,-0.18729272335273883,0.07310755081579856,0.0736454867896974,-0.15255953702313363,0.10784073714538156,-0.17397497200644096,-3.530000000000001,3.3829543734203327,-0.9999999999999787,-0.034733186329605203
2018-02-23,thb,31.472,-0.45017988085005456,-0.22620502381283103,0,0,0,0,0,NA,-0.22397485703722353,-2.2300000000000004,-0.17295520096354267,1.3818183221004254,0,0,0,1,-0.45017988085005456,-0.803497772629802,-0.5406106151324863,-0.22620502381283103,-0.24103282618330724,-0.16738733939360984,-0.12254090674730378,-2.919999999999998,2.744802385090761,-2.9999999999999805,-0.562464946446517
2018-02-26,thb,31.361,-0.3533178917797475,-0.014827802370476206,0,0,0,0,0,NA,-0.3384900894092935,-0.6899999999999977,0.050414294216238886,1.3629840629903356,-2.9999999999999805,0,0,1,-0.3533178917797475,-0.5703831284759264,-1.020563009325981,-0.014827802370476206,-0.31741456719573957,-0.5436195910085706,0.45651412247336154,2.1000000000000014,0.8170586938434532,2.0000000000000018,-0.25296856128020906
2018-02-27,thb,31.293,-0.21706523669617894,-0.30258676482526337,0,0,0,0,0,NA,0.08552152812908442,2.789999999999999,0.40609982825712265,-0.5459253691468824,4.999999999999982,0,0,1,-0.21706523669617894,0.32789524006027193,-0.025422651719475553,-0.30258676482526337,0.06680881460292554,0.05198101223244933,0.606687806490136,4.050000000000001,-2.805316759100851,2.9999999999999805,0.2610864254573464
2018-02-28,thb,31.464,0.5449604767564509,0.3693955794281889,0,0,0,0,0,NA,0.17556489732826197,1.2600000000000016,0.20058797823301333,-2.2593913899539686,-2.0000000000000018,0,0,1,0.5449604767564509,NA,NA,0.3693955794281889,NA,NA,0.334735065023839,3.879999999999999,-5.098965184256166,-4.999999999999982,0.6249329915969826
2018-03-01,thb,NA,NA,NA,0,0,0,0,0,NA,0.4493680942687206,2.6199999999999974,0.13414708679082565,-2.839573794302197,-2.9999999999999805,0,0,1,NA,NA,NA,NA,NA,NA,NA,-0.26000000000000156,-2.7928775525010607,0,0.23360808679226963
2018-03-02,thb,31.478,NA,NA,0,0,0,0,0,NA,-0.21576000747645097,-2.879999999999999,NA,0.046696241801136296,2.9999999999999805,0,0,1,NA,NA,NA,NA,NA,NA,NA,-3.7399999999999984,2.3845449491210147,2.0000000000000018,-0.11648408318734038
2018-03-05,thb,31.426,-0.1653313361469344,-0.2646072604360228,0,0,0,0,0,NA,0.09927592428911058,-0.8599999999999994,NA,2.3378487073198784,-0.9999999999999787,0,0,1,-0.1653313361469344,-0.31500097637851,NA,-0.2646072604360228,0.21455661938851733,NA,NA,-1.2300000000000004,2.1704846515168796,0,-0.5295575957670273
2018-03-06,thb,31.379,-0.14966964023157558,0.4791638798245401,0,0,0,0,0,NA,-0.6288335200561379,-0.370000000000001,-0.5223035925994601,-0.16736405580299873,0.9999999999999787,0,0,1,-0.14966964023157558,-0.26446191073694614,-0.42979324688388054,0.4791638798245401,0.15537519068142824,-0.10923206975459454,-0.24975469491463897,-0.9699999999999989,-1.0544913176615545,0.9999999999999787,-0.4198371014183522
2018-03-07,thb,31.343,-0.11479227050537055,-0.3237886891431119,0,0,0,0,0,NA,0.20899641863778573,-0.5999999999999979,0.27254889768482116,-0.8871272618585557,0,0,0,1,-0.11479227050537055,-0.2329106899593203,-0.3825803301908959,-0.3237886891431119,-0.7009623342695281,-0.22179845444498802,0.4352420970378468,-1.8200000000000003,-2.779243262938369,0,0.46805164431025226
2018-03-08,thb,31.306,-0.11811841945394974,-0.37717364512641627,0,0,0,0,0,NA,0.2590552256724665,-1.2200000000000024,0.16269319935302562,-1.8921160010798133,0,0,0,1,-0.11811841945394974,0.08929426239907556,-0.02549800810629499,-0.37717364512641627,-0.005559906439223106,-0.329348595582335,-0.15563801986315795,-3.120000000000001,0.15351553521520955,2.0000000000000018,0.09485416883829867
2018-03-09,thb,31.371,0.2074126818530253,0.37161373868719316,0,0,0,0,0,NA,-0.16420105683416786,-1.8999999999999986,-0.31833121921618357,2.045631536295023,2.0000000000000018,0,0,1,0.2074126818530253,0.03193765796365433,-0.08618076149029541,0.37161373868719316,0.21984382335968888,-0.15732982176672738,-0.2990600760257145,-0.7599999999999998,1.0280464374250897,2.0000000000000018,-0.18790616539605676
2018-03-12,thb,31.316,-0.17547502388937097,-0.15176991532750428,0,0,0,0,0,NA,-0.0237051085618889,1.1399999999999988,0.019271143190469076,-1.017585098869933,0,0,0,1,-0.17547502388937097,-0.3416623424189247,-0.13424966056589938,-0.15176991532750428,-0.17560845537167857,0.1960052833155146,-0.17119433063568223,1.7100000000000009,-1.5302872240532395,-1.000000000000023,-0.1660538870472683
2018-03-13,thb,31.264,-0.1661873185295537,-0.023838540044174295,0,0,0,0,0,NA,-0.1423487784853794,0.5700000000000021,-0.1904654738261513,-0.5127021251833064,-1.000000000000023,0,0,1,-0.1661873185295537,-0.4576813507048083,-0.6331563745941793,-0.023838540044174295,-0.25200134781009353,-0.4037712631375978,-0.07553076940327585,1.450000000000001,-1.4359541257035424,-1.000000000000023,-0.20568000289471478
2018-03-14,thb,31.173,-0.2914940321752546,-0.22816280776591924,0,0,0,0,0,NA,-0.06333122440933536,0.879999999999999,0.11493470442287546,-0.923252000520236,0,0,0,1,-0.2914940321752546,-0.3428336771341467,-0.5090209956637004,-0.22816280776591924,-0.37764876191239694,-0.40148730195657123,0.43048742604820944,0.23999999999999844,-0.8289716666981306,3.000000000000025,0.03481508477825024
2018-03-15,thb,31.157,-0.051339644958892094,-0.1494859541464777,0,0,0,0,0,NA,0.0981463091875856,-0.6400000000000006,0.315552721625334,0.09428033382210543,3.000000000000025,0,0,1,-0.051339644958892094,0.12503007158954915,-0.16646396058570545,-0.1494859541464777,-0.1280545304389591,-0.35621733820487833,0.5278901556089011,-1.4299999999999997,1.6681344018193656,5.000000000000027,0.25308460202848604
2018-03-16,thb,31.212,0.17636971654844125,0.021431423707518604,0,0,0,0,0,NA,0.15493829284090044,-0.7899999999999991,0.21233743398356708,1.5738540679972601,2.0000000000000018,0,0,1,0.17636971654844125,0.2019975998255319,0.1506579548666398,0.021431423707518604,0.0612783273181039,-0.0882076268283738,0.10280915583660288,2.4299999999999997,1.7900703684467167,2.0000000000000018,0.1407192725074502
2018-03-19,thb,31.22,0.025627883277090646,0.039846903610585294,0,0,0,0,0,NA,-0.014219020333450239,3.219999999999999,-0.1095282781469642,0.2162163004494566,0,0,0,1,0.025627883277090646,-0.08654262764289378,0.08982708890554747,0.039846903610585294,-0.13076665464535342,-0.10933523093783482,0.05725388936568265,2.3999999999999986,2.020270731751861,2.9999999999999805,0.04422402700245964
2018-03-20,thb,31.185,-0.11217051091998442,-0.1706135582559387,0,0,0,0,0,NA,0.05844304733590988,-0.8200000000000003,0.16678216751264685,1.8040544313024043,2.9999999999999805,0,0,1,-0.11217051091998442,-0.1217909832926356,-0.09616310001554496,-0.1706135582559387,-0.15180654421653728,-0.11195964060595198,-0.29679922669538783,4.32,6.220240979529379,-2.0000000000000018,0.03001556092392388
2018-03-22,thb,31.182,-0.009620472372651179,0.018807014039401437,0,0,0,0,1,0,-0.028427486411986003,5.140000000000001,-0.4635813942080347,4.416186548226975,-4.999999999999982,1,1,1,-0.009620472372651179,0.20821662043246647,0.09604610951248205,0.018807014039401437,0.5530500028331664,0.3824364445772277,-0.6897765468052874,6.670000000000002,4.488645068895902,-6.000000000000005,-0.34483338240069994
2018-03-23,thb,31.25,0.21783709280511765,0.534242988793765,0,0,0,0,0,NA,-0.31640589598871394,1.5300000000000011,-0.22619515259725276,0.07245852066892766,-1.000000000000023,0,0,1,0.21783709280511765,-0.054533499354558757,-0.06415397172720994,0.534242988793765,0.9375774994500707,0.9563845134894722,-0.7543649030345101,-2.3099999999999987,-0.24675242943059672,4.0000000000000036,-0.9921109988046739
2018-03-26,thb,31.165,-0.2723705921596764,0.40333451065630577,0,0,0,0,0,NA,-0.67570510281596,-3.84,-0.5281697504372573,-0.3192109500995244,5.000000000000027,0,0,1,-0.2723705921596764,-0.3783147085268723,-0.16047761572175467,0.40333451065630577,0.14436085842373103,0.678603847217496,-0.38459189679960204,-2.370000000000001,-0.5811435794840669,-2.0000000000000018,-0.5226755669505811
2018-03-27,thb,31.132,-0.10594411636719592,-0.25897365223257474,0,0,0,0,0,NA,0.15302953586537882,1.4699999999999989,0.1435778536376553,-0.26193262938454254,-7.000000000000028,0,0,1,-0.10594411636719592,0.1314713758176378,-0.1408992163420386,-0.25897365223257474,-0.28403176512385997,0.1193027455324458,0.36450845741180515,1.8399999999999999,-0.9931438428812278,-5.000000000000027,0.41550314094149776
2018-03-28,thb,31.206,0.2374154921848337,-0.025058112891285234,0,0,0,0,0,NA,0.26247360507611894,0.370000000000001,0.22093060377414986,-0.7312112134966853,2.0000000000000018,0,0,1,0.2374154921848337,0.3751146573257369,0.269170540958541,-0.025058112891285234,0.22390936339082845,-0.03506428884174628,0.3061384924706978,-2.530000000000001,0.5666560749313376,1.000000000000023,0.15120529393493065
2018-03-29,thb,31.249,0.1376991651409032,0.2489674762821137,0,0,0,0,0,NA,-0.11126831114118829,-2.900000000000002,0.08520788869654794,1.297867288428023,-0.9999999999999787,0,0,1,0.1376991651409032,0.02883644947169195,0.26625194165652566,0.2489674762821137,0.3789545740100486,0.3538964611187634,-0.08825785256307839,NA,NA,NA,-0.35011812453833446
2018-03-30,thb,31.215,-0.10886271566921124,0.12998709772793493,0,0,0,0,0,NA,-0.23884981339714617,NA,-0.17346574125962633,NA,NA,0,0,1,-0.10886271566921124,-0.22425843960052205,-0.08655927445961886,0.12998709772793493,-0.07942429709408838,0.1695431791880253,0.035566980287971006,NA,NA,NA,-0.14483414250643367
2018-04-02,thb,31.179,-0.11539572393131081,-0.2094113948220233,0,0,0,0,0,NA,0.0940156708907125,NA,0.20903272154759733,NA,NA,0,0,1,-0.11539572393131081,-0.05127054939753073,-0.16013326506674197,-0.2094113948220233,-0.29807220643380816,-0.16808510870587323,0.07812471333110693,NA,NA,NA,0.24680165703627743
2018-04-03,thb,31.199,0.06412517453378008,-0.08866081161178485,0,0,0,0,0,NA,0.15278598614556493,-2.5199999999999996,-0.1309080082164904,NA,2.9999999999999805,0,0,1,0.06412517453378008,0.11219208459678498,-0.003203639334525832,-0.08866081161178485,-0.3010644838295162,-0.5104758786515395,-0.06241310431951419,-3.5600000000000023,NA,2.9999999999999805,0.4132565684262346
2018-04-04,thb,31.214,0.0480669100630049,-0.21240367221773138,0,0,0,0,0,NA,0.26047058228066966,-1.0400000000000027,0.06849490389697621,-4.413569861792954,0,0,0,1,0.0480669100630049,0.03845537621498529,0.10258055074876538,-0.21240367221773138,-0.22201520606572878,-0.3106760176775136,0.15393157869834084,-2.16,-3.659304707952593,2.0000000000000018,0.26047058228066966
2018-04-05,thb,31.211,-0.009611533848019604,-0.0096115338479974,0,0,0,0,0,NA,0,-1.1199999999999974,0.08543667480136463,0.7542651538403611,2.0000000000000018,0,0,1,-0.009611533848019604,NA,NA,-0.0096115338479974,NA,NA,0.14158081731023842,1.4299999999999997,0.7091693244402286,-0.9999999999999787,0
2018-04-06,thb,NA,NA,NA,0,0,0,0,0,NA,0,2.549999999999997,0.056144142508873784,-0.04509582940013246,-2.9999999999999805,0,0,1,NA,NA,NA,NA,NA,NA,-0.1825702206041946,2.8299999999999983,2.4494655942230104,-0.9999999999999787,-0.015862944195688122
2018-04-09,thb,31.259,NA,NA,0,0,0,0,0,NA,-0.015862944195688122,0.28000000000000114,-0.23871436311306837,2.494561423623143,2.0000000000000018,0,0,1,NA,NA,NA,NA,NA,NA,-0.39292744873629104,-1.0199999999999996,6.066884240643322,4.999999999999982,-0.39255312919252994
