date,idr,myr,php,sgd,thb,ret_idr,ret_myr,ret_php,ret_sgd,ret_thb
2014-03-24,11384,3.3036,45.236,1.2716,32.451,-0.41201022560901635,-0.19354064345467048,0.36763933065238064,-0.423762699589153,0.13568104705696804
2014-03-25,11357,3.2995,45.212,1.2677,32.511,-0.23745668780410512,-0.12418411130854512,-0.05306916805958295,-0.30717150919666314,0.18472342927053909
2014-03-26,11408,3.303,45.052,1.2686,32.597,0.44805697624301644,0.106020456731315,-0.35451601430347424,0.0709695255115661,0.2641765989299216
2014-03-27,11438,3.294,45.018,1.2649,32.565,0.26262818211844063,-0.2728514653203895,-0.07549683938035123,-0.29208625463006677,-0.09821675999019952
2014-03-28,11404,3.2765,44.965,1.2614,32.517,-0.2976974442699287,-0.5326852258034087,-0.11780004251678022,-0.2770852423945147,-0.14750624966421988
2014-03-31,NA,3.2685,44.996,1.2605,32.435,NA,-0.2444615426767438,0.06891875641006351,-0.07137476015764144,-0.2524942836704014
2014-04-01,11271,3.2605,44.809,1.2588,32.387,NA,-0.2450606219527085,-0.4164584828764806,-0.13495814377227633,-0.14809789507634896
2014-04-02,11303,3.2675,44.751,1.26,32.39,0.28351219486530965,0.2144608665120007,-0.12952212619117276,0.09528347552719696,0.009262546898280988
2014-04-03,11310,3.28,44.786,1.2624,32.485,0.061911291943594904,0.3818255879812327,0.0781799742736844,0.19029501460860743,0.2928711149256191
2014-04-04,11310,3.285,44.98,1.2639,32.538,0,0.15232295405216423,0.4322355948529921,0.11875075614707908,0.16301927544843942
2014-04-07,11282,3.27,45.003,1.2607,NA,-0.247875481024451,-0.4576667027411885,0.05112076836932822,-0.2535056415856912,NA
2014-04-08,11309,3.2645,44.86,1.2595,32.408,0.23903335714052787,-0.16833732646110988,-0.3182625122800875,-0.09523054445587098,NA
2014-04-09,NA,3.2305,NA,1.2503,32.223,NA,-1.0469687628467783,NA,-0.7331294291710977,-0.5724822616369973
2014-04-10,11342,3.2325,44.829,1.2485,32.208,NA,0.061890764779226615,NA,-0.14406917811261022,-0.04656143865839901
2014-04-11,11450,3.2395,44.426,1.2492,32.314,0.9477080408412775,0.21631652439995097,-0.9030367791934779,0.056051568909573635,0.3285703957203179
2014-04-14,11444,3.2485,44.371,1.2512,NA,-0.052415481238377026,0.2774354430573611,-0.12387807478515533,0.1599744382123125,NA
2014-04-15,11434,3.2545,44.42,1.2539,NA,-0.0874202346084374,0.1845302691856343,0.11037155787021469,0.21556034054454332,NA
