observation_date,DTWEXAFEGS
2008-08-07,86.4715
2008-08-08,87.8231
2008-08-11,88.0507
2008-08-12,88.1653
2008-08-13,88.2830
2008-08-14,88.3842
2008-08-15,88.8519
2008-08-18,88.6883
2008-08-19,88.6229
2008-08-20,88.8627
2008-08-21,87.6892
2008-08-22,88.2017
2008-08-25,88.0941
2008-08-26,88.7169
2008-08-27,88.6873
2008-08-28,88.7911
2008-08-29,89.0634
2008-09-01,89.0634
2008-09-02,89.8469
2008-09-03,89.6453
2008-09-04,90.0579
2008-09-05,90.2196
2008-09-08,90.9642
2008-09-09,90.6459
2008-09-10,91.3762
2008-09-11,91.6526
2008-09-12,90.3869
2008-09-15,90.3282
2008-09-16,90.5742
2008-09-17,90.5112
2008-09-18,89.6110
2008-09-19,89.1721
2008-09-22,87.9129
2008-09-23,87.6647
2008-09-24,87.9259
2008-09-25,88.0175
2008-09-26,88.1394
2008-09-29,88.8899
2008-09-30,90.5089
2008-10-01,90.5930
2008-10-02,91.6002
2008-10-03,91.8193
2008-10-06,93.0443
2008-10-07,92.7160
2008-10-08,93.1101
2008-10-09,93.8718
2008-10-10,95.4767
2008-10-13,95.4767
2008-10-14,94.1929
2008-10-15,94.9896
2008-10-16,95.7837
2008-10-17,95.3401
2008-10-20,96.3120
2008-10-21,97.5662
2008-10-22,99.2804
2008-10-23,99.1868
2008-10-24,100.0805
2008-10-27,101.4334
2008-10-28,101.5710
2008-10-29,98.3918
2008-10-30,98.2545
2008-10-31,98.8589
2008-11-03,98.2090
2008-11-04,96.3882
2008-11-05,96.3408
2008-11-06,97.9305
2008-11-07,97.9708
2008-11-10,98.3854
2008-11-11,98.3854
2008-11-12,100.0907
2008-11-13,100.5199
2008-11-14,99.6581
2008-11-17,99.5997
2008-11-18,99.8167
2008-11-19,100.3852
2008-11-20,101.9327
2008-11-21,101.9772
2008-11-24,99.1219
2008-11-25,98.3093
2008-11-26,99.3641
2008-11-27,99.3641
2008-11-28,99.7115
2008-12-01,100.0461
2008-12-02,99.8089
2008-12-03,100.4194
2008-12-04,99.7054
2008-12-05,101.5483
2008-12-08,99.4163
2008-12-09,99.5431
2008-12-10,99.1691
2008-12-11,97.1772
2008-12-12,97.7270
2008-12-15,96.1711
2008-12-16,95.3278
2008-12-17,92.8473
2008-12-18,93.2498
2008-12-19,95.3434
2008-12-22,95.0116
2008-12-23,95.0122
2008-12-24,94.9883
2008-12-25,94.9883
2008-12-26,94.8964
2008-12-29,94.1950
2008-12-30,94.9169
2008-12-31,95.3097
2009-01-01,
2009-01-02,94.9904
2009-01-05,95.9084
2009-01-06,96.0599
2009-01-07,94.7329
2009-01-08,94.7302
2009-01-09,95.2940
2009-01-12,96.2953
2009-01-13,97.5658
2009-01-14,97.8120
2009-01-15,98.7176
2009-01-16,98.0183
2009-01-19,
2009-01-20,
2009-01-21,100.1860
2009-01-22,99.6757
2009-01-23,99.8503
2009-01-26,98.0975
2009-01-27,98.0286
2009-01-28,97.1460
2009-01-29,98.3633
2009-01-30,99.3594
2009-02-02,99.6400
2009-02-03,98.4665
2009-02-04,98.8066
2009-02-05,99.0568
2009-02-06,99.0927
2009-02-09,97.7713
2009-02-10,98.6393
2009-02-11,99.3055
2009-02-12,99.7674
2009-02-13,99.4811
2009-02-16,
2009-02-17,101.2274
2009-02-18,101.5147
2009-02-19,101.0473
2009-02-20,100.8432
2009-02-23,100.4869
2009-02-24,100.8518
2009-02-25,101.2789
2009-02-26,101.0190
2009-02-27,101.9441
2009-03-02,102.8725
2009-03-03,103.1594
2009-03-04,102.5822
2009-03-05,102.8957
2009-03-06,102.3972
2009-03-09,103.3224
2009-03-10,102.2205
2009-03-11,102.1335
2009-03-12,102.4120
2009-03-13,101.5976
2009-03-16,101.0709
2009-03-17,101.3039
2009-03-18,100.7485
2009-03-19,96.7123
2009-03-20,97.7296
2009-03-23,97.6712
2009-03-24,97.5507
2009-03-25,97.5366
2009-03-26,97.8374
2009-03-27,98.8680
2009-03-30,99.9590
2009-03-31,99.6756
2009-04-01,99.7666
2009-04-02,98.1874
2009-04-03,98.1095
2009-04-06,98.7501
2009-04-07,98.7690
2009-04-08,98.7612
2009-04-09,99.1147
2009-04-10,99.0864
2009-04-13,98.0396
2009-04-14,97.7920
2009-04-15,97.9808
2009-04-16,98.0587
2009-04-17,98.9135
2009-04-20,99.9235
2009-04-21,99.6331
2009-04-22,99.5615
2009-04-23,99.1256
2009-04-24,97.6926
2009-04-27,98.1256
2009-04-28,98.7695
2009-04-29,97.2120
2009-04-30,97.5190
2009-05-01,97.2943
2009-05-04,96.6344
2009-05-05,96.4147
2009-05-06,96.5040
2009-05-07,96.2242
2009-05-08,95.5737
2009-05-11,94.9784
2009-05-12,94.9381
2009-05-13,95.0211
2009-05-14,95.0821
2009-05-15,95.2643
2009-05-18,95.1952
2009-05-19,94.4903
2009-05-20,93.4644
2009-05-21,93.2327
2009-05-22,92.0333
2009-05-25,
2009-05-26,92.0138
2009-05-27,91.9474
2009-05-28,92.1979
2009-05-29,90.9622
2009-06-01,90.4602
2009-06-02,89.9956
2009-06-03,90.6723
2009-06-04,91.0091
2009-06-05,92.2493
2009-06-08,92.8894
2009-06-09,91.7003
2009-06-10,91.9128
2009-06-11,91.0835
2009-06-12,91.7680
2009-06-15,93.1351
2009-06-16,92.4563
2009-06-17,92.7181
2009-06-18,92.1298
2009-06-19,91.9340
2009-06-22,93.1571
2009-06-23,92.5556
2009-06-24,92.2941
2009-06-25,92.9932
2009-06-26,92.3012
2009-06-29,92.4651
2009-06-30,92.8021
2009-07-01,91.8267
2009-07-02,92.7436
2009-07-03,
2009-07-06,92.9908
2009-07-07,93.0217
2009-07-08,93.2498
2009-07-09,92.4608
2009-07-10,92.8612
2009-07-13,92.5164
2009-07-14,92.1262
2009-07-15,91.2174
2009-07-16,91.1386
2009-07-17,91.2451
2009-07-20,90.6554
2009-07-21,90.5957
2009-07-22,90.3190
2009-07-23,89.9495
2009-07-24,90.1403
2009-07-27,90.1329
2009-07-28,89.9305
2009-07-29,90.8048
2009-07-30,90.5197
2009-07-31,89.5349
2009-08-03,88.7330
2009-08-04,88.9148
2009-08-05,88.9668
2009-08-06,89.3360
2009-08-07,90.3413
2009-08-10,90.5362
2009-08-11,90.7357
2009-08-12,90.2347
2009-08-13,89.9268
2009-08-14,90.2663
2009-08-17,90.9804
2009-08-18,91.0642
2009-08-19,90.0046
2009-08-20,89.9818
2009-08-21,89.5696
2009-08-24,89.4079
2009-08-25,89.2602
2009-08-26,90.3988
2009-08-27,90.1249
2009-08-28,89.5631
2009-08-31,89.7169
2009-09-01,90.3673
2009-09-02,90.2481
2009-09-03,90.0345
2009-09-04,89.6859
2009-09-07,
2009-09-08,88.5811
2009-09-09,88.3559
2009-09-10,88.3971
2009-09-11,87.9304
2009-09-14,88.2925
2009-09-15,88.1541
2009-09-16,87.6345
2009-09-17,87.4253
2009-09-18,87.9434
2009-09-21,88.2220
2009-09-22,87.4993
2009-09-23,87.7405
2009-09-24,88.3990
2009-09-25,88.4625
2009-09-28,88.3540
2009-09-29,88.7714
2009-09-30,88.0310
2009-10-01,88.5055
2009-10-02,88.5635
2009-10-05,88.1437
2009-10-06,87.3022
2009-10-07,87.6364
2009-10-08,86.9504
2009-10-09,87.1452
2009-10-12,
2009-10-13,86.5115
2009-10-14,86.2315
2009-10-15,86.0925
2009-10-16,86.4454
2009-10-19,86.0303
2009-10-20,86.6272
2009-10-21,86.0262
2009-10-22,86.2680
2009-10-23,86.4692
2009-10-26,86.9819
2009-10-27,87.3927
2009-10-28,87.7061
2009-10-29,87.3227
2009-10-30,87.6081
2009-11-02,87.3905
2009-11-03,87.7542
2009-11-04,87.1032
2009-11-05,86.9989
2009-11-06,87.1010
2009-11-09,86.2040
2009-11-10,86.1946
2009-11-11,
2009-11-12,86.5919
2009-11-13,86.3037
2009-11-16,85.8433
2009-11-17,86.5982
2009-11-18,85.9641
2009-11-19,86.5523
2009-11-20,86.8761
2009-11-23,86.2358
2009-11-24,86.4219
2009-11-25,85.5829
2009-11-26,
2009-11-27,86.2239
2009-11-30,85.9723
2009-12-01,85.2840
2009-12-02,85.5116
2009-12-03,85.8073
2009-12-04,86.5326
2009-12-07,86.6954
2009-12-08,87.0707
2009-12-09,86.9566
2009-12-10,86.9134
2009-12-11,87.5283
2009-12-14,87.3090
2009-12-15,87.9545
2009-12-16,87.5628
2009-12-17,88.8525
2009-12-18,88.8809
2009-12-21,
2009-12-22,88.9488
2009-12-23,88.4484
2009-12-24,88.4340
2009-12-25,
2009-12-28,88.1505
2009-12-29,88.2539
2009-12-30,88.6545
2009-12-31,88.4202
2010-01-01,
2010-01-04,87.8890
2010-01-05,87.8337
2010-01-06,87.8387
2010-01-07,88.2854
2010-01-08,88.0130
2010-01-11,87.2655
2010-01-12,87.3110
2010-01-13,87.2511
2010-01-14,87.0388
2010-01-15,87.3890
2010-01-18,
2010-01-19,87.7284
2010-01-20,88.6737
2010-01-21,88.5707
2010-01-22,88.6873
2010-01-25,88.7089
2010-01-26,89.1822
2010-01-27,89.0818
2010-01-28,89.1028
2010-01-29,89.8126
2010-02-01,89.8344
2010-02-02,89.5127
2010-02-03,89.7826
2010-02-04,90.3570
2010-02-05,90.8684
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,90.2768
2010-02-15,
2010-02-16,89.6716
2010-02-17,90.1225
2010-02-18,90.4396
2010-02-19,90.5945
2010-02-22,90.3143
2010-02-23,90.5729
2010-02-24,90.5694
2010-02-25,91.1799
2010-02-26,90.1835
2010-03-01,90.5404
2010-03-02,90.1132
2010-03-03,89.3554
2010-03-04,90.0075
2010-03-05,89.9548
2010-03-08,89.9712
2010-03-09,89.9090
2010-03-10,89.8026
2010-03-11,89.7714
2010-03-12,89.2377
2010-03-15,89.6748
2010-03-16,89.0965
2010-03-17,88.9520
2010-03-18,89.4297
2010-03-19,89.7975
2010-03-22,89.7967
2010-03-23,89.7528
2010-03-24,90.8772
2010-03-25,90.7841
2010-03-26,90.8965
2010-03-29,90.4414
2010-03-30,90.5073
2010-03-31,90.0874
2010-04-01,89.7470
2010-04-02,90.2325
2010-04-05,89.8996
2010-04-06,90.0871
2010-04-07,90.1512
2010-04-08,90.0646
2010-04-09,89.8268
2010-04-12,89.4059
2010-04-13,89.3373
2010-04-14,88.9111
2010-04-15,89.4133
2010-04-16,89.8391
2010-04-19,90.1872
2010-04-20,89.6737
2010-04-21,89.8306
2010-04-22,90.1509
2010-04-23,90.1816
2010-04-26,90.1011
2010-04-27,90.8439
2010-04-28,91.2197
2010-04-29,90.5993
2010-04-30,90.5980
2010-05-03,91.1109
2010-05-04,91.8513
2010-05-05,92.3941
2010-05-06,93.3212
2010-05-07,93.2331
2010-05-10,92.3930
2010-05-11,92.5780
2010-05-12,92.8882
2010-05-13,93.0426
2010-05-14,94.1407
2010-05-17,94.7748
2010-05-18,94.4185
2010-05-19,95.1162
2010-05-20,95.2496
2010-05-21,94.3319
2010-05-24,94.9361
2010-05-25,95.8630
2010-05-26,95.6392
2010-05-27,94.6409
2010-05-28,94.7256
2010-05-31,
2010-06-01,94.9154
2010-06-02,95.0831
2010-06-03,95.1443
2010-06-04,96.0944
2010-06-07,96.3263
2010-06-08,96.0612
2010-06-09,95.4279
2010-06-10,94.8708
2010-06-11,95.1732
2010-06-14,94.1409
2010-06-15,93.9577
2010-06-16,93.8174
2010-06-17,93.7331
2010-06-18,93.5782
2010-06-21,93.3745
2010-06-22,93.5099
2010-06-23,93.8600
2010-06-24,93.9659
