shock,matching,dropped_date,side,shock_dropped,int_coef,int_se,int_pval,pre_coef,pre_se,pre_pval,int_shift,pre_shift
1Y,exact,2011-05-13,pre,0.12,-2.156509995597492,0.662760246113396,0.001150855442020321,0.6405677113172437,0.3645056562885157,0.07895539634279813,0.037294649654838974,-0.0373299357280964
1Y,exact,2011-06-14,pre,0.18,-2.2707227481857117,0.6583352655391058,5.69794021889133e-4,0.7548750098812619,0.3564120578868624,0.03425601333260048,-0.07691810293338097,0.07697736283592183
1Y,exact,2011-07-07,pre,-0.06,-2.1703842887929428,0.6614470850719665,0.0010448961664498,0.654471674774214,0.3621500400974887,0.0708307901389576,0.023420356459388003,-0.023425972271126083
1Y,exact,2011-12-01,pre,-0.2,-1.9838655565489813,0.6554773259492431,0.0024936223578220125,0.46792948615105806,0.3511479413183415,0.1827708914107655,0.20993908870334943,-0.209968160894282
1Y,exact,2012-05-10,pre,-0.05,-2.1944419630876673,0.659719807730894,8.902758870824161e-4,0.6783998851847527,0.3589356066359342,0.05884709081844881,-6.373178353364928e-4,5.022381394126363e-4
1Y,exact,2012-06-08,pre,-0.17,-2.257635196134336,0.6594096466012669,6.257346807942941e-4,0.7418650264377049,0.3584294537169881,0.038557145332920234,-0.06383055088200518,0.06396737939236485
1Y,exact,2012-07-03,pre,-0.02,-2.1821453850796475,0.6601392402570266,9.586067295008505e-4,0.6663245482453346,0.35977435320928186,0.06411212069086215,0.011659260172683261,-0.011573098800005455
1Y,exact,2012-07-06,pre,-0.11,-2.2855123401814366,0.6497257142536018,4.4164310497505694e-4,0.7696318002491899,0.34025047460640206,0.02376923459029297,-0.0917076949291058,0.09173415320384981
1Y,exact,2012-07-19,pre,0.03,-2.198804548934718,0.6590656384357602,8.592138120544548e-4,0.6829741018613334,0.3577994672880067,0.05637805191039422,-0.004999903682387341,0.005076454815993392
1Y,exact,2012-08-21,pre,0.07,-2.2005860826526638,0.6589466458584168,8.490880875216987e-4,0.68466853548709,0.3575542972871795,0.05560178130847934,-0.00678143740033299,0.006770888441749889
1Y,exact,2013-07-30,pre,-0.01,-2.199968481594486,0.6586993939596122,8.481262554059185e-4,0.6839626161576109,0.35706086702920475,0.05551643991314311,-0.006163836342155449,0.006064969112270835
1Y,exact,2013-08-06,pre,-0.05,-2.198938147958541,0.6591790829927131,8.60358581760433e-4,0.683051102926752,0.357984969979772,0.05647805112602161,-0.005133502706210269,0.005153455881411917
1Y,exact,2013-08-13,pre,0.0467,-2.1739939548019254,0.6609375081277558,0.001015775806451742,0.6579835820885012,0.3611676776286957,0.06857841421901767,0.0198106904504054,-0.019914064956838895
1Y,exact,2013-10-29,pre,0.0925,-2.1463650881160037,0.6632097382340897,0.0012235517418859683,0.6306252397717258,0.365449339915576,0.08451642365576367,0.04743955713632708,-0.04727240727361426
1Y,exact,2014-04-22,pre,-0.02,-2.2047161879280095,0.6582467074420153,8.196447216384932e-4,0.6890071674983284,0.35633759123807024,0.05325598392627494,-0.010911542675678731,0.011109520452988297
1Y,exact,2014-06-10,pre,-0.04,-2.197773899480841,0.6592996342135444,8.6771337551737e-4,0.681875469221258,0.3582103694280577,0.05706008007006792,-0.003969254228510355,0.003977822175917911
1Y,exact,2015-01-22,pre,0.055,-2.2387526027163682,0.6554415701763989,6.445285758948461e-4,0.7227850108181602,0.35100872405658406,0.03956196397229716,-0.04494795746403746,0.0448873637728201
1Y,exact,2015-02-05,pre,-0.025,-2.192603203177528,0.6594585423818655,8.949674615696385e-4,0.6767010087839922,0.3585002376263433,0.059174754152776135,0.00120144207480255,-0.0011966382613478599
1Y,exact,2015-03-17,pre,-0.12,-2.1841119918198317,0.6639226003884384,0.0010141556754276976,0.6680926712787617,0.36661737158207414,0.06850361173663053,0.009692653432499032,-0.00980497576657835
1Y,exact,2015-03-24,pre,-0.0617,-2.1411427705518538,0.6625782370736042,0.0012442060168486907,0.6251605745590535,0.3641815665684991,0.08614917482414829,0.05266187470047701,-0.05273707248628656
1Y,exact,2015-04-07,pre,-0.075,-2.212534769166859,0.6584480796037169,7.882341675757742e-4,0.6965730587378015,0.35661153372356325,0.05087288420437979,-0.018730123914528107,0.018675411692461452
1Y,exact,2015-04-14,pre,-0.045,-2.2041215449190714,0.6587539444798527,8.299678968605047e-4,0.6881979039668749,0.35720952586201554,0.05412173607376088,-0.010316899666740653,0.0103002569215348
1Y,exact,2015-04-20,pre,-0.2483,-2.2944573537284727,0.6615009561960764,0.00053039829482782195,0.7786810786054876,0.36224842365934645,0.031666009963253784,-0.10065270847614194,0.10078343156014757
1Y,exact,2015-05-12,pre,-0.1,-2.2347991589771814,0.6576059486823642,6.864236378104772e-4,0.7189697621989362,0.35509718365232534,0.04298266425556007,-0.040994513724850634,0.0410721151535961
1Y,exact,2015-06-25,pre,-0.08,-2.2159430888009224,0.6588796786081879,7.798279524888608e-4,0.7000805743612594,0.3574472796568297,0.050254560261021,-0.022138443548591624,0.02218292731591931
1Y,exact,2015-06-30,pre,-0.0833,-2.1529096815959923,0.6627878067512222,0.0011735351432251584,0.6370824216342437,0.36463948632424786,0.0807093900290618,0.04089496365633849,-0.04081522541109639
1Y,exact,2015-08-26,post,-0.15,-2.537203692744165,0.69606407129083,2.717171873590481e-4,0.6778964370590519,0.35802680518572516,0.05839482540537489,-0.34339904749183425,-1.2099862881642665e-6
1Y,exact,2015-08-27,post,-0.03,-2.249494995538909,0.6629291489580982,6.993358144098163e-4,0.677906541089764,0.3580292580708394,0.05839279836570251,-0.055690350286578205,8.894044423946035e-6
1Y,exact,2015-10-27,post,-0.04,-2.149383938694853,0.6632985106492586,0.0012060746623136617,0.6778874029658486,0.3580344606094254,0.0584035616841011,0.044420706557477985,-1.0244079491461555e-5
1Y,exact,2016-03-01,post,-0.01,-2.2523860836253786,0.6600253825984306,6.517933880227367e-4,0.6779119419377755,0.35803107926063926,0.05839207345673363,-0.058581438373047856,1.429489243542914e-5
1Y,exact,2017-02-03,post,0.145,-2.1911355614133132,0.7855163568589559,0.005312582244446716,0.6778972759764317,0.35803251955861204,0.058398531143175184,0.0026690838390175387,-3.7106890837801387e-7
1Y,exact,2017-03-16,post,0.12,-1.773508042156524,0.5642173096657639,0.001686331797222786,0.6778908553056395,0.35803266782530985,0.05840101938864448,0.42029660309580685,-6.7917397005290425e-6
1Y,exact,2017-12-14,post,-0.06,-2.2893691909259886,0.6725120660602447,6.720192882561232e-4,0.6778861661492879,0.35803148757593034,0.05840193077520547,-0.0955645456736578,-1.1480896052185052e-5
1Y,exact,2018-04-18,post,-0.1025,-2.3246709840819832,0.7036301949600272,9.646184362391727e-4,0.6778967879632962,0.35803118551114615,0.05839777449263818,-0.13086633882965248,-8.590820438358904e-7
1Y,exact,2018-06-25,post,-0.015,-2.1711020642183128,0.6587890668818713,9.93219128711507e-4,0.6779026997545915,0.35802766006796805,0.05839310118009159,0.02270258103401801,5.052709251440746e-6
1Y,exact,2019-01-03,post,0.005,-2.1739183469593835,0.6591321339163142,9.842483859674954e-4,0.677879019723374,0.3580387444292227,0.0584096864566699,0.019886298292947302,-1.8627321966002697e-5
1Y,exact,2019-05-06,post,-0.045,-2.16381846346388,0.6628889697884371,0.001109597461501913,0.6778949297169876,0.35803258859599496,0.05839945083977186,0.029986181788450583,-2.7173283524417613e-6
1Y,exact,2019-11-05,post,-0.07,-2.2992312115239137,0.6730359345849581,6.431896397576278e-4,0.6779115243141758,0.35802418469715835,0.05838738192377092,-0.10542656627158298,1.387726883572693e-5
1Y,exact,2019-11-18,post,-0.0725,-2.28699627441119,0.6756750465955806,7.212922105739817e-4,0.677894989633123,0.35802714481385356,0.05839560156943848,-0.09319162915885926,-2.6574122170552883e-6
1Y,exact,2020-01-23,post,-0.0075,-2.1935122507462586,0.6593233091112323,8.883990633622505e-4,0.6779056112682468,0.35802679041737717,0.05839140888425802,2.923945060722133e-4,7.964222906720053e-6
1Y,exact,2020-02-03,post,-0.13,-2.1476884508130643,0.7264015475813727,0.0031339145337316303,0.6778887973912616,0.35803233398970125,0.058401548817497456,0.04611619443926651,-8.84965407843552e-6
1Y,exact,2020-03-30,post,-0.045,-2.0950562134373385,0.6563542361241558,0.0014272784933878515,0.6778850199777634,0.3580262640209698,0.05839868404193798,0.09874843181499227,-1.2627067576653772e-5
1Y,exact,2020-04-03,post,-0.05625,-2.21898255180267,0.6680410596161053,9.053462576743681e-4,0.6779066795383376,0.35802882792337676,0.058392444581420004,-0.025177906550339024,9.0324929975516e-6
1Y,exact,2020-04-15,post,-0.0525,-1.9932228147774453,0.6321648858548212,0.0016314403632709234,0.6778859613229363,0.35802885120796657,0.05840015337587011,0.20058183047488543,-1.1685722403731447e-5
1Y,rolled,2008-01-17,pre,-0.02,-1.9292891786952568,0.8138966604814484,0.01782816961308865,0.5116403938948344,0.3389660876181135,0.1312950141724662,-0.012391475636507332,0.012257950336190093
1Y,rolled,2008-04-16,pre,0.01,-1.917106780396749,0.8146034643974267,0.01866372758995607,0.499593203724966,0.3407145642357273,0.14266551680881584,-2.090773379994637e-4,2.1076016632171068e-4
1Y,rolled,2008-09-16,pre,-0.31,-1.9159442397175868,0.8321272340694187,0.02137505026174324,0.4981815044478687,0.3806288876894663,0.19068654078414238,9.534633411627524e-4,-0.0012009391107756229
1Y,rolled,2008-10-09,pre,-0.06,-1.9385266170776088,0.8137246825201453,0.017265546893485844,0.520994621949748,0.3385765770945024,0.12396051266015196,-0.021628914018859247,0.021612178391103687
1Y,rolled,2008-10-30,pre,0.025,-1.9303073395065782,0.8138837917675026,0.01776624145925324,0.5130483836965745,0.33908829991282075,0.13037602693287176,-0.013409636447828666,0.013665940137930155
1Y,rolled,2008-11-26,pre,-0.5,-1.6453923700530853,0.8287434997922536,0.04718751438634222,0.2277886094345624,0.37324626008326467,0.5417143061251206,0.27150533300566426,-0.2715938341240819
1Y,rolled,2008-12-23,pre,0.04,-1.9002005446960806,0.8154887897228121,0.019862949649745082,0.4827189032633824,0.34285191775743484,0.159245934158088,0.01669715836266894,-0.016663540295261903
1Y,rolled,2010-01-13,pre,0.12,-1.9452279325944297,0.814952356245791,0.017049850904460453,0.5276725928528597,0.3415417890055462,0.12245530675553122,-0.028330229535680207,0.028290149294215416
1Y,rolled,2010-10-20,pre,0.175,-1.9169723924957005,0.8196481929077217,0.019410485552630242,0.4993890885983945,0.3525883559945955,0.15677331356611957,-7.468943695099206e-5,6.645039750174941e-6
